Left: 27
Left: 26
Left: 25
Left: 26
Left: 22
Left: 21
Left: 17
Left: 15
Left: 27
Left: 26
Left: 24
Left: 25
Left: 22
Left: 21
Left: 17
Left: 15
Left: 15
Left: 45
Left: 43
Left: 31
Left: 45
Left: 30
Left: 43
Left: 18
Left: 44
Left: 30
Left: 26
Left: 25
Left: 24
Left: 25
Left: 21
Left: 21
Left: 16
Left: 14
Left: 16
Left: 27
Left: 26
Left: 27
Left: 28
Left: 25
Left: 25
Left: 66
Left: 64
Left: 65
Left: 47
Left: 50
Left: 35
Left: 35
Left: 49
Left: 48
Left: 22
Left: 94
Left: 64
Left: 78
Left: 64
Left: 76
Left: 61
Left: 71
Left: 58
Left: 52
Left: 59
Left: 92
Left: 90
Left: 80
Left: 84
Left: 75
Left: 81
Left: 73
Left: 80
